name,Price Discounted,Price Full
"Placa de Video EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming, LHR, 8GB, GDDR6X, 256-bit, 08G-P5-3785-KL",4599.99,5227.26
"Placa de Video EVGA GeForce RTX 3070 XC3 Black Gaming, 8GB, GDDR6, 256-bit, 08G-P5-3751-KL",4199.99,4772.72
"Placa de Video EVGA GeForce RTX 3060 Ti XC Gaming, LHR, 8GB, GDDR6, 256-bit, 08G-P5-3663-KL",3299.99,3749.99
"Placa de Video EVGA RTX 3050 XC Gaming, 8GB, GDDR6, 128-bit, 08G-P5-3553-KR",2199.99,2499.99
"Placa de Video MSI GeForce RTX 2060 Ventus GP OC, 6GB, GDDR6, 192-bit, 912-V375-693",1849.99,2102.26
"Placa de Video PowerColor Radeon RX 6400 Low Profile, 4GB, GDDR6, 64-bit, AXRX-6400-LP-4GBD6-DH",1199.01,1362.51
"Placa de Video PowerColor Radeon RX 6400 ITX, 4GB, GDDR6, 64-bit, AXRX-6400-4GBD6-DH",920.00,1045.45
"Placa de Video PowerColor Radeon RX 6500 XT ITX, 4GB, GDDR6, 64-bit, AXRX-6500XT-4GBD6-DH",1199.00,1362.5
"Placa de Video PowerColor Radeon RX 6500 XT Fighter OC, 4GB, GDDR6, 64-bit, AXRX-6500XT-4GBD6-DH/OC",1299.00,1476.14
"Placa de Video PowerColor Radeon RX 6750 XT Red Devil OC, 12GB, GDDR6, 192-bit, AXRX-6750XT-12GBD6-3DHE/OC",4300.00,4886.36
"Placa de Video PowerColor Radeon RX 6950 XT Red Devil OC, 16GB, GDDR6, 256-bit, AXRX-6950XT-16GBD6-3DHE/OC",9099.91,10340.81
"Placa de Video MSI Radeon RX 6950 XT Gaming X Trio, 16GB, GDDR6, 256-bit, 912-V395-041",9100.00,10340.91
"Placa de Video MSI Radeon RX 6750 XT Mech 2X, 12GB, GDDR6, 192-bit, 912-V399-002",4398.99,4998.85
"Placa de Video MSI Radeon RX 6650 XT Mech 2X, 8GB, GDDR6, 128-bit, 912-V502-062",2898.99,3294.31
"Placa de Video MSI Radeon RX 6650 XT Gaming X, 8GB, GDDR6, 128-bit, 912-V502-061",2798.99,3180.67
"Placa de Video Sapphire Radeon RX 6400 Pulse, 4GB, GDDR6, 64-Bit, 11315-01-20G",1099.98,1249.98
"Placa de Video Gigabyte GeForce RTX 3080 Aorus Xtreme Waterforce WB, 12GB, GDDR6X, 384-bit, GV-N3080AORUSXWB-12GD",7999.99,9090.9
"Placa de Video Gigabyte Radeon RX 6750 XT Aorus Elite, 12GB, GDDR6, 192-bit, GV-R675XTAORUSE-12GD",5299.98,6022.71
"Placa de Video Gigabyte Radeon RX 6750 XT Gaming OC, 12GB, GDDR6, 192-bit, GV-R675XTGAMINGOC-12GD",4729.91,5374.9
"Placa de Video Gigabyte GeForce RTX 3090 Ti Gaming OC, 24GB, GDDR6X, 384-bit, GV-N309TGAMINGOC-24GD",14999.99,17045.44
"Placa de Video Gigabyte GeForce RTX 3090 Ti Gaming, 24GB, GDDR6X, 384-bit, GV-N309TGAMING-24GD",12199.99,13863.62
"Placa de Video PNY Quadro RTX A4500, 20GB, GDDR6, 320-bit, VCNRTXA4500-PB",10999.00,12498.86
"Placa de Video PNY Quadro RTX A2000, 12GB, GDDR6, 192-bit, VCNRTXA200012GB-PB",4999.00,5680.68
"Placa de Video PNY Quadro RTX A2000, 6GB, GDDR6, 192-bit, VCNRTXA2000-PB",3499.99,3977.26
"Placa de Video PNY Quadro T1000, 4GB, GDDR6, 128-bit, VCNT1000-PB",2199.99,2499.99
"Placa de Video PNY Quadro T1000, 8GB, GDDR6, 128-bit, VCNT10008GB-PB",2899.00,3294.32
"Placa de Video Gigabyte GeForce RTX 3050 Gaming OC, 8GB, GDDR6, 128-bit, GV-N3050GAMING OC-8GD",2299.99,2613.62
"Placa de Video ASRock Radeon RX 6750 XT Phantom Gaming D OC, 12GB, GDDR6, 192-Bit, 90-GA3NZZ-00UANF",4599.98,5227.25
"Placa de Video ASRock Radeon RX 6650 XT Phantom Gaming D OC, 8GB, GDDR6, 128-bit, 90-GA3MZZ-00UANF",3198.99,3635.22
"Placa de Video ASRock Radeon RX 6400 Challenger ITX, 4GB, GDDR6, 64-Bit, 90-GA3CZZ-00UANF",999.00,1135.23
"Placa de Video Mancer Radeon RX 550, 4GB, GDDR5, 128-bit, MCR-RX5504GD5-V4",659.90,749.89
"Placa de Video Mancer Radeon RX 550, 4GB, GDDR5, 128-bit, MCR-RX5504GDDR5-V3",639.90,727.16
"Placa de Video Mancer Radeon RX 560, 4GB, GDDR5, 128-bit, MCR-RX5604GDDR5-V2",1269.00,1442.04
"Placa de Video Mancer GeForce GTX 1060, 3GB, GDDR5, 192-bit, MCR-10603GDDR5-V1",1388.99,1578.4
"Placa de Video Gigabyte GeForce RTX 3080 Ti Eagle OC, 12GB, GDDR6X, 384-bit, GV-N308TEAGLE OC-12GD",9799.99,11136.35
"Placa de Video Sapphire Radeon RX 6500 XT Pulse OC, 4GB, GDDR6, 64-Bit, 11314-01-20G",2024.70,2300.79
"Placa de Video PCYES Radeon RX 550, 4GB, GDDR5, 128-bits, PJRX550DR5128B",749.00,851.14
"Placa de Video MSI Radeon RX 6500 XT Mech 2x OC, 4GB, GDDR6, 64-bit, 912-V508-003",1298.99,1476.13
"Placa de Video Gigabyte GeForce RTX 3070 Gaming OC, LHR, 8GB, GDDR6, 256-bit, GV-N3070GAMING OC-8GD REV 2.0",4149.99,4715.9
"Placa de Video Asus GeForce RTX 3050 Phoenix , 8GB, GDDR6, 128-bit, PH-RTX3050-8G",2119.99,2409.08
"Placa de Video ASRock Radeon RX 6500 XT Phantom Gaming D OC, 4GB, GDDR6, 64-Bit, 90-GA3DZZ-00UANF",999.02,1135.25
"Placa de Video Gigabyte Radeon RX 6500 XT Gaming OC, 4GB, GDDR6, 64-Bit, GV-R65XTGAMING OC-4GD",1498.99,1703.4
"Placa de Video Gigabyte Radeon RX 6500 XT Eagle, 4GB, GDDR6, 64-Bit, GV-R65XTEAGLE-4GD",2897.55,3292.67
"Placa de Video Gainward GeForce RTX 3080 Ti Phantom, 12GB, GDDR6X, 384-bit, NED308T019KB-1020M",11699.99,13295.44
"Placa de Video Gainward GeForce RTX 3080 Ti Phoenix, 12GB, GDDR6X, 384-bit, NED308T019KB-132AX",11299.99,12840.9
"Placa de Video Gainward GeForce RTX 3080 Phantom+, LHR, 10GB, GDDR6, 320-bit, NED3080U19IA-1020M",7999.99,9090.9
"Placa de Video Galax GeForce RTX 3070 1-Click OC, LHR, 8GB, GDDR6, 256-bit, 37NSL6MD2KCH-NAC",4129.99,4693.17
"Placa de Video Gigabyte GeForce RTX 3080 Gaming OC, LHR, 10GB, GDDR6X, 320-bit, GV-N3080GAMINGOC-10GD-REV2.0",5999.99,6818.17
"Placa de Video MSI GeForce GTX 1650 Ventus XS OC, 4GB, GDDR5, 128-bit, 912-V809-3060",1429.05,1623.92
"Placa de Video PNY Quadro T600, 4GB, GDDR6, 128-bit, VCNT600-PB",1459.99,1659.08
"Placa de Video Gigabyte Radeon RX 6600 Eagle, 8GB, GDDR6, 128-Bit, GV-R66EAGLE-8GD",2898.99,3294.31
"Placa de Video PNY Quadro RTX A5000, 24GB, GDDR6, 384-bit, VCNRTXA5000-PB",19448.70,22100.79
